,ZNF90,ZNF534,H3K9me3,KAP1,SMAD1,OCT4,TCF4,SOX2,FOXP1,FOXA1,KLF4,NANOG,MED1,H3K27ac,H3K4me1,H3K4me3,Chimeric Transcript,GRO-seq,RNA-seq
chr2_183529906_183530354_TSSflanking_SOLO_KLF4_NANOG_7up_7up_phylo____chr2_183529906-183530354____1-448,,,,,,,,,,,19,2,,4,,,,,
chrY_18645041_18645491_SOLO_NANOG_7up_7up_phylo____chrY_18645041-18645491____1-446,,,,,,,,,,,,2,,4,,,,,
chr9_85458320-85466944_3779_ZNF534_ZNF90_KAP1_k4me3_KLF4_NANOG_OCT4_7up_GRO2of7__chr9_85458320-85458773____1-447,1,10,,12,,14,,,,,19,2,,4,,6,,,
chr4_125561620_125567456_4857_ZNF534_ZNF90_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_44108_TCF4_FOXA1_7up_C_7up_phylo_-__chr4_125567008-125567456_-__1-448,1,10,11,12,,,15,,17,18,19,2,,4,,6,,,
chr9_80137295_80143148_3406_ZNF534_KAP1_EncodeTxn_FOXP1_KLF4_NANOG_FOXA1_7up_GRO3of7_7up_phylo____chr9_80137295-80137741____1-446,,10,,12,,,,,17,18,19,2,,,,6,,,
chr13_55578228-55584087_3391_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_OCT4_SMAD11_SOX2_TCF4_7up_wanghigh_GRO2of7__chr13_55583638-55584087_-__1-447,,10,,,13,14,15,16,17,,19,2,,4,,6,,,9
chr11_27629072_27634926_3421_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_C_7up_phylo_-__chr11_27634479-27634926_-__1-447,,10,,,,,15,16,17,18,19,2,3,4,,6,,,9
chr18_56415436-56421341_3515_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_OCT4_7up_GRO2of7__chr18_56415436-56415883____1-447,1,10,11,12,,14,,,,,19,2,,,,,,,
chr16_59514911_59522964_5304_1_NANOG_GRO3of7_C_7up_phylo_-__chr16_59522529-59522964_-__1-397,,,,,,,,,,,,2,,,,,,,
chr20_12752946_12753392_h3k27ac_enh_SOLO_KLF4_NANOG_44108_7up_proto7y____chr20_12752946-12753392____1-444,,,,,,,,,,,19,2,,4,5,,,,
chr6_14296942_14302823_3454_ZNF534_k4me3_KLF4_NANOG_44108_SOX2_7up_wanghigh_GRO3of7_C_7up_phylo_-__chr6_14302376-14302823_-__1-446,,10,,,,,,16,,,19,2,,4,,6,,,9
chr10_53358813_53359266_h3k27ac_enh_SOLO_KLF4_NANOG_44108_SOX2_7up_C_7up_phylo_-__chr10_53358813-53359266_-__1-448,,,,,,,,16,,,19,2,,4,5,,,,
chr2_165707552_165716198_5795_ZNF534_EncodeTxn_KLF4_NANOG_44108_7up_GRO3of7_C_7up_phylo_-__chr2_165715718-165716198_-__1-448,,10,,,,,,,,,19,2,,4,,,,,
chr7_42870576_42876404_4614_ZNF534_KAP1_EncodeTxn_FOXP1_KLF4_NANOG_44108_7up_GRO3of7_C_7up_phylo_-__chr7_42875924-42876404_-__1-448,,10,,12,,,,,17,,19,2,,4,,6,,,
chrX_116812448_116818222_4861_ZNF534_k4me3_TSSflanking_FOXP1_KLF4_NANOG_44108_SOX2_7up_wanghigh_C_7up_phylo_-__chrX_116817774-116818222_-__1-448,,10,,,,,,16,17,,19,2,,4,,6,,,9
chr14_38190638_38196525_3465_transcribed_ZNF534_k4me3_TSS_KLF4_MED1_NANOG_44108_SOX2_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr14_38190638-38191083____1-445,,10,,,,,,16,,18,19,2,3,4,,6,,8,9
chr2_64252414_64257646_3723_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SOX2_7up_wanghigh_GRO1of7_7up_phylo____chr2_64252414-64252895____1-447,,10,,,,,,16,17,,19,2,3,4,,6,,8,9
chr4_189479539_189485403_3269_ZNF534_EncodeTxn_KLF4_NANOG_7up_GRO4of7_C_7up_phylo_-__chr4_189484956-189485403_-__1-447,,10,,,,,,,,,19,2,,4,,6,,,
chr5_7263580_7269331_5029_transcribed_KAP1_k4me3_EncodeTxn_KLF4_MED1_NANOG_44108_SMAD11_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr5_7263580-7264028____1-448,,,,12,13,,,,,18,19,2,3,4,5,6,,8,9
chr14_41599669_41600169_h3k27ac_enh_SOLO_NANOG_44108_TCF4_C_7up_phylo_-__chr14_41599669-41600169_-__1-446,,,,,,,15,,,,,2,,4,,6,,,
chr4_55280350_55280798_h3k27ac_enh_SOLO_KLF4_NANOG_SOX2_7up_C_7up_phylo_-__chr4_55280350-55280798_-__1-448,,,,,,,,16,,,19,2,,4,5,,,,
chr12_72215009_72215455_h3k27ac_TSSflanking_SOLO_FOXP1_KLF4_NANOG_SOX2_TCF4_7up_C_7up_phylo_-__chr12_72215009-72215455_-__1-446,,,,,,,15,16,17,,19,2,,4,,6,,,
chr8_34860187_34860639_h3k27ac_weakenh_SOLO_KLF4_NANOG_TCF4_7up_C_7up_phylo_-__chr8_34860187-34860639_-__1-448,,,,,,,15,,,,19,2,,4,5,,,,
chr2_223188780_223195505_3334_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr2_223195102-223195505_-__1-401,1,10,11,12,,,,,,,,,,4,,6,,,
chr3_890694_896413_4680_ZNF534_EncodeTxn_GRO4of7_C_7down_-__chr3_896002-896413_-__1-401,,10,,,,,,,,,,,,,,6,,,
chr6_164652142_164658014_3526_ZNF534_EncodeTxn_GRO3of7_C_7down_-__chr6_164657654-164658014_-__1-359,,10,,,,,,,,,,,,,,6,,,
chr7_68218039_68218703_505_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7old_-__chr7_68218292-68218703_-__1-357,,,,12,,,,,,,,,,,,,,,
chr2_173304187_173304589_EncodeTxn_SOLO_NANOG_C_7down_-__chr2_173304187-173304589_-__1-401,,,,,,,,,,,,2,,4,,,,,
chr4_132118178-132123891_4549_ZNF534_EncodeTxn_GRO2of7__chr4_132118178-132118590____1-407,,10,,,,,,,,,,,,,,,,,
chr5_124303758-124309476_3253_ZNF534_KAP1_EncodeTxn_GRO2of7__chr5_124303758-124304213____1-404,,10,11,12,,,,,,,,,,,,,,,
chrX_33104306_33104707_EncodeTxn_SOLO_FOXP1_NANOG_SMAD11_7down____chrX_33104306-33104707____1-401,,,,,13,,,,17,,,2,,4,,,,,
chr14_106659969_106660370_EncodeRepressed_SOLO_C_7down_-__chr14_106659969-106660370_-__1-401,,,11,,,,,,,,,,,,,,,,
chr14_48262396_48268282_3168_ZNF534_TSS_NANOG_SMAD11_SOX2_wanghigh_GRO1of7_C_7down_-__chr14_48267872-48268282_-__1-410,,10,,,13,,,16,,,,2,,4,5,6,,8,9
chr5_161248409_161255013_3138_ZNF534_KAP1_EncodeTxn_7down____chr5_161248409-161248819____1-406,,10,11,12,,,,,,,,,,,,,,,
chr7_93639935_93645552_3199_transcribed_ZNF534_k4me3_TSS_NANOG_GRO1of7_7down____chr7_93639935-93640344____1-399,,10,,,,,,,,,,2,,4,,6,,8,
chr3_72023126_72028900_3184_ZNF534_ZNF90_KAP1_EncodeRepressed_7down____chr3_72023126-72023532____1-396,1,10,11,12,,,,,,,,,,,,6,,,
chr8_8168723_8183856_2383_ZNF534_KAP1_EncodeRepressed_GRO3of7_7down____chr8_8168723-8169074____1-350,,10,11,12,,,,,,,,,,4,5,,,,
chr8_12481807_12496943_2385_ZNF534_KAP1_EncodeRepressed_chimeric_GRO3of7_C_7down_-__chr8_12496592-12496943_-__1-350,,10,11,12,,,,,,,,,,4,5,,7,,
chr2_224225331_224230986_4575_ZNF534_EncodeRepressed_NANOG_7down____chr2_224225331-224225728____1-396,,10,,,,,,,,,,2,,4,5,6,,,
chr8_10571081_10577329_4734_ZNF534_EncodeTxn_7down____chr8_10571081-10571481____1-400,,10,,,,,,,,,,,,,5,6,,,
chr9_81009084_81015281_1916_ZNF534_EncodeTxn_GRO3of7_7down____chr9_81009084-81009481____1-397,,10,,,,,,,,,,,,,,6,,,
chr7_31466860_31472379_3225_ZNF534_EncodeRepressed_chimeric_C_7down_-__chr7_31471977-31472379_-__1-401,,10,,,,,,,,,,,,4,,6,7,,
chr1_54897904_54903584_4518_ZNF534_ZNF90_KAP1_EncodeTxn_chimeric_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr1_54903186-54903584_-__1-398,1,10,,12,,,,,,,,,,,,,7,,
chr8_112195874_112201403_4669_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_7down____chr8_112195874-112196275____1-401,1,10,11,12,,,,,,,,2,,,,,,,
chr2_237606784-237612654_3356_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO2of7__chr2_237606784-237607195____1-411,1,10,11,12,,,,,,,,,,4,,6,,,
chr13_79274082-79279821_4787_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO2of7__chr13_79274082-79274491____1-409,1,10,11,12,,,,,,,,,,,,6,,,
chr3_35874404_35880025_4481_ZNF534_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr3_35879667-35880025_-__1-357,,10,11,12,,,,,,,,,,,,,,,
chr2_156720084_156725844_4499_ZNF534_KAP1_EncodeTxn_NANOG_GRO3of7_C_7down_-__chr2_156725433-156725844_-__1-410,,10,,12,,,,,,,,2,,4,5,,,,
chr4_170116430_170122158_3295_ZNF534_ZNF90_KAP1_TSSflanking_7down____chr4_170116430-170116838____1-398,1,10,11,12,,,,,,,,,,4,,6,,,
chr8_888877_889287_enh_SOLO_NANOG_C_7down_-__chr8_888877-889287_-__1-410,,,,,,,,,,,,2,,4,5,,,,
chr2_224296633-224302363_4691_ZNF534_KAP1_EncodeTxn_chimeric_GRO2of7__chr2_224296633-224297043____1-410,,10,11,12,,,,,,,,,,,,6,7,,
chr14_46012433_46018103_4355_ZNF534_EncodeRepressed_NANOG_C_7down_-__chr14_46017697-46018103_-__1-406,,10,,,,,,,,,,2,,4,,6,,,
chr6_144869847_144870256_h3k27ac_EncodeRepressed_SOLO_NANOG_C_7down_-__chr6_144869847-144870256_-__1-409,,,,,,,,,,,,2,,,,,,,
chr11_3398785_3399193_EncodeTxn_SOLO_NANOG_7down____chr11_3398785-3399193____1-408,,,,,,,,,,,,2,,4,,,,,
chr2_79051400-79057072_4373_ZNF534_KAP1_EncodeRepressed_GRO2of7__chr2_79051400-79051798____1-397,,10,,12,,,,,,,,,,,,,,,
chr13_97642318-97648209_4854_ZNF534_ZNF90_KAP1_EncodeTxn_GRO2of7__chr13_97642318-97642715____1-395,1,10,11,12,,,,,,,,,,4,,,,,
chr6_140257496_140263080_1905_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO4of7_C_7down_-__chr6_140262670-140263080_-__1-410,1,10,11,12,,,,,,,,2,,4,,6,,,
chrX_86981884_86987487_3116_ZNF534_k27ac_EncodeRepressed_KLF4_NANOG_44108_SMAD11_TCF4_GRO3of7_7down____chrX_86981884-86982284____1-400,,10,,,13,,15,,,,19,2,,4,,6,,,
chr7_78577478_78577880_h3k27ac_weakenh_SOLO_NANOG_44108_SMAD11_SOX2_C_7down_-__chr7_78577478-78577880_-__1-400,,,,,13,,,16,,,,2,,4,5,,,,
chr6_123582336_123588007_4656_ZNF534_k4me3_weakenh_NANOG_GRO4of7_C_7down_-__chr6_123587607-123588007_-__1-400,,10,,,,,,,,,,2,,4,,6,,,
chr4_138927836_138933543_4578_ZNF534_ZNF90_KAP1_EncodeRepressed_7down____chr4_138927836-138928235____1-397,1,10,,12,,,,,,,,,,,,6,,,
chr3_187466299_187472000_4418_ZNF534_KAP1_EncodeRepressed_C_7down_-__chr3_187471594-187472000_-__1-405,,10,11,12,,,,,,,,,,,,6,,,
chr21_16892210-16898240_4614_ZNF534_KAP1_EncodeTxn_GRO2of7__chr21_16892210-16892611____1-401,,10,11,12,,,,,,,,,,4,,,,,
chr9_115174652_115180335_3138_ZNF534_weakenh_NANOG_GRO3of7_C_7down_-__chr9_115179932-115180335_-__1-393,,10,,,,,,,,,,2,,4,,,,,
chr8_63497054_63497454_EncodeRepressed_SOLO_NANOG_7down____chr8_63497054-63497454____1-400,,,,,,,,,,,,2,,,,,,,
chr1_79488608_79494123_3448_ZNF534_k4me3_weakenh_C_7down_-__chr1_79493709-79494123_-__1-400,,10,,,,,,,,,,,,4,,6,,,
chr2_170977458_170983386_4819_ZNF534_KAP1_EncodeTxn_NANOG_GRO3of7_C_7down_-__chr2_170982986-170983386_-__1-399,,10,,12,,,,,,,,2,,,5,,,,
chr4_23797848_23798248_weakenh_SOLO_NANOG_7down____chr4_23797848-23798248____1-400,,,,,,,,,,,,2,,,5,,,,
chrX_57336041_57336451_h3k27ac_weakenh_SOLO_NANOG_44108_7down____chrX_57336041-57336451____1-410,,,,,,,,,,,,2,,4,,,,,
chr7_147166558_147166914_EncodeRepressed_SOLO_C_7down_-__chr7_147166558-147166914_-__1-356,,,,,,,,,,,,,,,,,,,
chrX_138264358-138270033_4392_1_EncodeTxn_NANOG_GRO2of7__chrX_138269633-138270033_-__1-400,,,,,,,,,,,,2,,4,,6,,,
chr3_192071109_192076858_4453_1_EncodeTxn_NANOG_GRO4of7_C_7down_-__chr3_192076445-192076858_-__1-410,,,,,,,,,,,,2,,4,,6,,,
chr19_52627795-52633395_4482_KAP1_EncodeTxn_GRO2of7__chr19_52627795-52628192____1-392,,,11,12,,,,,,,,,,,,,,,
chr7_121563649_121569668_4421_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO4of7_C_7down_-__chr7_121569270-121569668_-__1-397,1,10,11,12,,,,,,,,2,,4,,6,,,
chr1_198034651_198040990_3140_ZNF534_KAP1_EncodeTxn_GRO4of7_7down____chr1_198034651-198035056____1-402,,10,11,12,,,,,,,,,,,,,,,
chr3_145710495_145716095_3035_ZNF534_KAP1_EncodeTxn_GRO3of7_7down____chr3_145710495-145710846____1-349,,10,11,12,,,,,,,,,,,,6,,,
chr2_203961942_203967634_4721_ZNF534_ZNF90_KAP1_EncodeTxn_GRO4of7_C_7down_-__chr2_203967278-203967634_-__1-356,1,10,,12,,,,,,,,,,,,6,,,
chr1_38425114_38430779_4320_transcribed_ZNF534_k4me3_TSS_NANOG_44108_wanghigh_GRO1of7_7down____chr1_38425114-38425524____1-410,,10,,,,,,,,,,2,,4,5,6,,8,9
chr12_62729867_62730257_enh_SOLO_FOXP1_NANOG_7down____chr12_62729867-62730257____1-390,,,,,,,,,17,,,2,,4,5,,,,
chr3_21189020_21194203_3120_1_GRO4of7_C_7down_-__chr3_21193805-21194203_-__1-398,,,,,,,,,,,,,,,,,,,
chr2_192506079_192513182_2305_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO5of7_GRO6of7_GRO7of7_7down____chr2_192506079-192506490____1-410,1,10,11,12,,,,,,,,2,,,,,,,
chr3_191691054_191691474_enh_SOLO_NANOG_C_7down_-__chr3_191691054-191691474_-__1-411,,,,,,,,,,,,2,,4,,,,,
chr6_62585932_62591724_4658_ZNF534_KAP1_EncodeTxn_NANOG_7down____chr6_62585932-62586380____1-397,,10,,12,,,,,,,,2,,,5,,,,
chr10_45045463_45045865_SOLO_C_7down_-__chr10_45045463-45045865_-__1-402,,,,,,,,,,,,,,,,,,,
chr11_83442184_83448545_3188_ZNF534_ZNF90_KAP1_EncodeTxn_C_7down_-__chr11_83448186-83448545_-__1-359,1,10,11,12,,,,,,,,,,,,,,,
chr11_70213950_70214361_weakenh_SOLO_NANOG_SMAD11_C_7down_-__chr11_70213950-70214361_-__1-411,,,,,13,,,,,,,2,,4,5,,,,
chr9_98273823_98274231_h3k27ac_EncodeRepressed_SOLO_NANOG_C_7down_-__chr9_98273823-98274231_-__1-408,,,,,,,,,,,,2,,4,,,,,
chr18_42737046_42742345_2894_1_k27ac_EncodeRepressed_GRO1of7_7down____chr18_42737046-42737438____1-391,,,,,,,,,,,,,,,,,,8,
chr3_70434672_70440419_3011_ZNF534_ZNF90_EncodeRepressed_GRO4of7_C_7down_-__chr3_70440010-70440419_-__1-406,1,10,,,,,,,,,,,,,,,,,
chr5_81953304_81959235_4379_ZNF534_ZNF90_KAP1_EncodeRepressed_7down____chr5_81953304-81953661____1-357,1,10,,12,,,,,,,,,,4,,6,,,
chr21_26227879_26233487_2979_KAP1_EncodeTxn_NANOG_GRO3of7_C_7down_-__chr21_26233084-26233487_-__1-401,,,11,12,,,,,,,,2,,4,,6,,,
chr3_176061364_176066982_4516_ZNF534_EncodeTxn_GRO4of7_7down____chr3_176061364-176061752____1-388,,10,,,,,,,,,,,,,5,6,,,
chr2_35436928-35442587_3168_1_k4me3_EncodeTxn_NANOG_wanghigh_GRO2of7__chr2_35442186-35442587_-__1-401,,,,,,,,,,,,2,,4,,6,,,9
chr9_3810901_3816765_3267_ZNF534_EncodeRepressed_GRO4of7_C_7down_-__chr9_3816367-3816765_-__1-398,,10,,,,,,,,,,,,,,6,,,
chr4_189925901_189931855_3216_ZNF534_KAP1_EncodeTxn_7down____chr4_189925901-189926292____1-391,,10,11,12,,,,,,,,,,,,,,,
chr11_127768919_127774895_3312_1_EncodeRepressed_GRO3of7_C_7down_-__chr11_127774501-127774895_-__1-394,,,,,,,,,,,,,,,5,,,,
chr5_16419969-16425426_3925_ZNF534_k4me3_TSSflanking_NANOG_wangmod_GRO2of7__chr5_16419969-16420378____1-409,,10,,,,,,,,,,2,,4,5,6,,,
chr7_101935024_101935434_h3k27ac_enh_SOLO_NANOG_7down____chr7_101935024-101935434____1-410,,,,,,,,,,,,2,,4,5,,,,
chr1_54020110_54020467_EncodeTxn_SOLO_C_7down_-__chr1_54020110-54020467_-__1-357,,,,,,,,,,,,,,,,,,,
chr21_44341537_44341947_h3k27ac_EncodeRepressed_SOLO_NANOG_C_7down_-__chr21_44341537-44341947_-__1-410,,,,,,,,,,,,2,,4,5,,,,
chr1_48209002_48214821_3046_ZNF534_k4me3_enh_NANOG_44108_C_7down_-__chr1_48214412-48214821_-__1-409,,10,,,,,,,,,,2,,4,5,6,,,
chr1_76894813-76900387_3290_ZNF534_KAP1_EncodeTxn_NANOG_GRO2of7__chr1_76899977-76900387_-__1-410,,10,11,12,,,,,,,,2,,,,6,,,
chr9_69404587_69410267_3463_ZNF534_k27ac_weakenh_NANOG_C_7down_-__chr9_69409908-69410267_-__1-359,,10,,,,,,,,,,2,,4,,,,,
chr15_94750749_94756464_4470_ZNF534_ZNF90_KAP1_EncodeTxn_GRO3of7_7down____chr15_94750749-94751160____1-411,1,10,11,12,,,,,,,,,,,,,,,
chr3_78221983_78222362_h3k27ac_EncodeTxn_SOLO_7down____chr3_78221983-78222362____1-378,,,,,,,,,,,,,,4,,,,,
chr3_163907530_163913988_3271_ZNF534_KAP1_EncodeTxn_NANOG_7down____chr3_163907530-163907935____1-405,,10,11,12,,,,,,,,2,,4,,,,,
chr15_52738558_52745204_5956_ZNF534_KAP1_EncodeRepressed_NANOG_GRO1of7_7down____chr15_52738558-52738987____1-409,,10,,12,,,,,,,,2,,,,6,,8,
chr7_22703358_22709313_4710_ZNF534_k4me3_enh_NANOG_chimeric_GRO1of7_7down____chr7_22703358-22703765____1-407,,10,,,,,,,,,,2,,4,,6,7,8,
chr1_230018264_230018664_h3k27ac_weakenh_SOLO_NANOG_7down____chr1_230018264-230018664____1-399,,,,,,,,,,,,2,,4,5,,,,
chr3_90082984_90086728_1507_1_k4me3_EncodeRepressed_NANOG_7down____chr3_90082984-90083400____1-410,,,,,,,,,,,,2,,4,,6,,,
chr1_150641376_150641787_h3k27ac_enh_SOLO_NANOG_SMAD11_SOX2_7down____chr1_150641376-150641787____1-410,,,,,13,,,16,,,,2,,4,5,,,,
chr3_61692473_61692874_enh_SOLO_NANOG_C_7down_-__chr3_61692473-61692874_-__1-401,,,,,,,,,,,,2,,4,5,,,,
chr18_31803783-31810056_4313_ZNF534_KAP1_EncodeRepressed_NANOG_GRO2of7__chr18_31803783-31804182____1-399,,10,,12,,,,,,,,2,,4,,6,,,
chr11_67759685_67765364_4338_ZNF534_k27ac_EncodeTxn_NANOG_GRO4of7_7down____chr11_67759685-67760095____1-399,,10,,,,,,,,,,2,,4,,,,,
chr3_170672177_170678262_5703_ZNF534_ZNF90_KAP1_EncodeTxn_GRO4of7_C_7down_-__chr3_170677851-170678262_-__1-410,1,10,11,12,,,,,,,,,,,,,,,
chr5_167297631_167303678_3096_ZNF534_TSSflanking_GRO3of7_C_7down_-__chr5_167303271-167303678_-__1-407,,10,,,,,,,,,,,,4,5,6,,,
chrY_21037652_21038057_SOLO_7down____chrY_21037652-21038057____1-399,,,11,,,,,,,,,,,,,,,,
chr18_64681731_64687323_3105_ZNF534_EncodeRepressed_7down____chr18_64681731-64682131____1-400,,10,,,,,,,,,,,,,,,,,
chr9_25668929_25675217_4348_ZNF534_EncodeTxn_wangmod_7down____chr9_25668929-25669329____1-400,,10,,,,,,,,,,,,,,,,,
chr2_188168688_188174691_3123_ZNF534_weakenh_NANOG_C_7down_-__chr2_188174286-188174691_-__1-405,,10,,,,,,,,,,2,,4,,,,,
chr13_54127418_54133158_3099_1_k4me3_weakenh_NANOG_SMAD11_wanghigh_C_7down_-__chr13_54132761-54133158_-__1-390,,,,,13,,,,,,,2,,4,,6,,,9
chr3_130059102_130064974_3265_1_k4me3_EncodeTxn_NANOG_7down____chr3_130059102-130059560____1-407,,,,,,,,,,,,2,,4,,6,,,
chr12_44450052_44456067_3051_1_EncodeTxn_GRO3of7_7down____chr12_44450052-44450463____1-407,,,,,,,,,,,,,,,,,,,
chr3_178207403_178207808_h3k27ac_EncodeTxn_SOLO_7down____chr3_178207403-178207808____1-405,,,,,,,,,,,,,,4,,,,,
chr2_37205224_37205635_h3k27ac_enh_SOLO_NANOG_44108_SMAD11_7down____chr2_37205224-37205635____1-401,,,,,13,,,,,,,2,,4,,,,,
chrX_93022959_93028634_4479_ZNF534_KAP1_EncodeRepressed_GRO4of7_7down____chrX_93022959-93023368____1-409,,10,,12,,,,,,,,,,,,,,,
chr9_100140182-100146522_3410_ZNF534_k4me3_TSS_NANOG_wanghigh_GRO2of7__chr9_100146116-100146522_-__1-406,,10,,,,,,,,,,2,,4,,6,,,9
chr10_1349016_1354570_2706_1_EncodeTxn_GRO4of7_7down____chr10_1349016-1349420____1-400,,,,,,,,,,,,,,,5,,,,
chr10_25716421_25722926_2736_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_7down____chr10_25716421-25716832____1-411,1,10,11,12,,,,,,,,2,,,,6,,,
chrX_30448932_30454861_4785_ZNF534_KAP1_EncodeTxn_NANOG_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chrX_30454401-30454861_-__1-409,,10,,12,,,,,,,,2,,,,6,,,
chr9_69823626_69824033_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr9_69823626-69824033_-__1-406,,,,,,,,,,,,2,,4,5,,,,
chr3_8113870_8114282_weakenh_SOLO_NANOG_7down____chr3_8113870-8114282____1-410,,,,,,,,,,,,2,,4,,,,,
chrX_142423376_142428961_2994_KAP1_EncodeTxn_GRO4of7_C_7down_-__chrX_142428549-142428961_-__1-409,,,,12,,,,,,,,,,4,,6,,,
chr14_48255199-48260940_3297_ZNF534_k27ac_TSS_NANOG_wanghigh_GRO2of7__chr14_48260541-48260940_-__1-399,,10,,,,,,,,,,2,,4,5,,,,9
chr1_216008143-216013869_3371_ZNF534_KAP1_EncodeRepressed_GRO2of7__chr1_216008143-216008553____1-409,,10,,12,,,,,,,,,,,,6,,,
chr21_16914128_16919898_3219_ZNF534_KAP1_EncodeRepressed_7down____chr21_16914128-16914528____1-400,,10,,12,,,,,,,,,,,,,,,
chr3_146362086_146367972_3131_ZNF534_ZNF90_KAP1_EncodeTxn_7down____chr3_146362086-146362495____1-409,1,10,11,12,,,,,,,,,,,,,,,
chr2_35818373_35818777_EncodeRepressed_SOLO_NANOG_7down____chr2_35818373-35818777____1-404,,,,,,,,,,,,2,,4,5,,,,
chr6_80509796_80515803_2811_KAP1_EncodeTxn_NANOG_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr6_80515393-80515803_-__1-410,,,,12,,,,,,,,2,,,,,,,
chr18_35356140_35361791_2942_ZNF90_KAP1_EncodeRepressed_GRO3of7_C_7down_-__chr18_35361384-35361791_-__1-407,1,,11,12,,,,,,,,,,,,6,,,
chr9_75351145_75357575_3057_ZNF534_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr9_75357164-75357575_-__1-411,,10,,12,,,,,,,,,,,,,,,
chr3_146353817_146359463_2887_KAP1_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_7down____chr3_146353817-146354226____1-407,,,11,12,,,,,,,,,,,,,,,
chr20_38592396_38598799_2915_ZNF534_KAP1_EncodeRepressed_NANOG_C_7down_-__chr20_38598388-38598799_-__1-409,,10,,12,,,,,,,,2,,4,,,,,
chr4_134677937_134683552_3284_ZNF534_KAP1_EncodeTxn_NANOG_C_7down_-__chr4_134683146-134683552_-__1-405,,10,11,12,,,,,,,,2,,4,,6,,,
chrX_131712025_131717764_4499_ZNF534_KAP1_EncodeTxn_GRO4of7_7down____chrX_131712025-131712446____1-410,,10,,12,,,,,,,,,,,,,,,
chr11_5160297_5166117_3254_ZNF534_TSSflanking_NANOG_chimeric_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr11_5165706-5166117_-__1-411,,10,,,,,,,,,,2,,4,,6,7,,
chr9_11038673_11039079_enh_SOLO_NANOG_7down____chr9_11038673-11039079____1-406,,,,,,,,,,,,2,,4,,,,,
chr4_3927446-3933080_3145_1_k4me3_enh_NANOG_GRO2of7__chr4_3927446-3927854____1-408,,,,,,,,,,,,2,,4,5,6,,,
chrX_6308003_6308363_EncodeRepressed_SOLO_7down____chrX_6308003-6308363____1-359,,,,,,,,,,,,,,,,,,,
chr6_16885985_16891647_4516_ZNF534_KAP1_EncodeTxn_NANOG_7down____chr6_16885985-16886384____1-399,,10,11,12,,,,,,,,2,,4,,6,,,
chr10_89329769_89330178_EncodeTxn_SOLO_C_7down_-__chr10_89329769-89330178_-__1-409,,,,,,,,,,,,,,,,,,,
chr20_45759334_45765245_1461_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO1of7_7down____chr20_45759334-45759751____1-410,1,10,11,12,,,,,,,,2,,4,,6,,8,
chr8_144953919_144959998_5744_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr8_144959589-144959998_-__1-408,1,10,11,12,,,,,,,,2,,,,6,,,
chr2_82398275_82398685_EncodeRepressed_SOLO_NANOG_C_7down_-__chr2_82398275-82398685_-__1-400,,,,,,,,,,,,2,,,,,,,
chr7_120776623_120782885_4490_ZNF534_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr7_120782486-120782885_-__1-399,,10,,,,,,,,,,,,,,,,,
chr8_18393944_18394351_SOLO_C_7down_-__chr8_18393944-18394351_-__1-407,,,,,,,,,,,,,,,,,,,
chr6_12667170_12673014_3210_ZNF534_ZNF90_KAP1_EncodeTxn_wangmod_GRO5of7_GRO6of7_GRO7of7_7down____chr6_12667170-12667579____1-409,1,10,11,12,,,,,,,,,,4,,,,,
chr6_153442518_153442929_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr6_153442518-153442929_-__1-411,,,,,,,,,,,,2,,4,,,,,
chr15_46680150_46680560_h3k27ac_EncodeTxn_SOLO_NANOG_7down____chr15_46680150-46680560____1-410,,,,,,,,,,,,2,,4,,,,,
